Emp Id,Name,Gender,Date of Birth,Department,Role,Salary,Email,Phone,Address
904961,Frederick Bava,Female,1965-05-03,Accounts,Accountant,52000,tkhanna@gmail.com,,H.No. 490 Sundaram Street Thanjavur 228391
795720,Ikshita Basu,Male,1976-10-02,Sales,Account Manager,,aarini70@gmail.com,7982871734,36 Varughese Path Kakinada-065591
645662,Aahana Savant,Female,1982-12-29,HR,Recruiter,67000,mammenladli@gmail.com,7640760248,75/683  Kapoor Marg Alwar-272233
907004,Amaira Khosla,Male,1961-07-16,Accounts,Financial Analyst,59000,aishani11@gmail.com,8123486367,H.No. 611  Palan Path Hubli–Dharwad 816240
290772,Aarnav Din,Male,1997-03-16,HR,HR Manager,61000,kotareva@gmail.com,8444532957,50/263  Sahni Marg Bhubaneswar 679587
840398,Ridhi Palla,Female,1985-11-24,Accounts,Financial Analyst,82000,basakfaras@gmail.com,7764531097,H.No. 591 Chakraborty Street  Kavali 048562
106826,Ekalinga Thakkar,Female,1991-12-04,HR,Recruiter,78000,yug39@gmail.com,8010735045,39/021 Vala Circle Mirzapur-237853
404773,Bhanumati Tella,Male,1991-08-11,Accounts,Accountant,71000,achakrabarti@gmail.com,,30 Chatterjee Ganj Gorakhpur-896389
907004,Amaira Khosla,Male,1961-07-16,Accounts,Financial Analyst,,_aishani11@gmail.com,8123486367,H.No. 611  Palan Path Hubli–Dharwad 816240
556036,Janaki Arora,Female,1999-08-31,HR,HR Manager,67000,978n@gmail.com,9077273014,H.No. 944  Rajagopalan Circle  New Delhi-964216
838216,Kala Saha,Male,1994-09-30,HR,Recruiter,75000,tripti69@gmail.com,9044542933,H.No. 290 Deshpande Nagar Etawah-738989
501565,Rohan Borah,Male,1996-01-15,Marketing,Marketing Executive,55000,yochana12$gmail.com,,101  Kala Circle  Katni 982504
373558,Advik Bal,Male,1993-10-13,Marketing,Marketing Executive,40000,aadhya53@yummy.com,8482496850,36  Sundaram Road Solapur 515571
719777,Jeevika Borra,Male,1989-04-04,Accounts,Financial Analyst,42000,jasonvasa@gmail.com,6433351148,666 Grover Ganj Karnal-655353
602682,Ayushman Mane,Female,1982-04-21,Marketing,Marketing Executive,40000,manthangoyal@gmail.com,6673196222,98/236  Prabhu Chowk  Arrah-084826
655443,Chavvi Gopal,Female,1968-05-18,Accounts,Financial Analyst,85000,maanavrege@gmail.com,6559986906,377 Puri Road  Ichalkaranji-961455
308917,Nitara De,Male,1987-12-08,HR,Training Coordinator,47000,raghavansathvik@gmail.com,7135859275,71  Boase Circle Kumbakonam 565405
563423,Kevin Gola,Female,1979-12-29,HR,HR Manager,83000,kamala65@gmail.com,7051643810,94/885  Thaman Zila Chandigarh 486530
457686,Vivaan Narasimhan,Male,1998-01-25,IT,Developer,52000,xarora@gmail.com,7678202944,673  Agate Road Munger-810039
644159,Mohammed Johal,Female,1974-12-12,Accounts,Auditor,87000,dtak@gmail.com,7437922965,07/323  Johal Ganj  Aurangabad-142334
219968,Vyanjana Jayaraman,Female,1979-04-19,HR,HR Manager,87000,gagan45@gmail.com,9452881284,436 Chakraborty Street  Jabalpur-585294
276860,Tara Mann,Female,1997-11-15,IT,DevOps Engineer,56000,tatanihal@gmail.com,8088284817,76/599 Aurora  Darbhanga-708263
596558,Zashil Krishna,Male,1977-11-10,Marketing,SEO Specialist,73000,dakshapai@gmail.com,9679352886,93/267  Kunda Zila  Vadodara-267760
409544,Kashish Patil,Male,1996-07-03,IT,Tester,80000,omemon@gmail.com,,75/065 Dass Marg Ghaziabad-649867
596558,Zashil Krishna,Male,1977-11-10,Marketing,SEO Specialist,,dakshapai@gmail.com,9679352886,93/267  Kunda Zila  Vadodara-267760
